word,frequency
which,12561
shall,11957
their,10659
there,9208
would,6969
could,5316
about,4622
these,4500
other,4293
after,3881
house,3553
great,3546
first,3412
every,3404
where,2826
again,2714
might,2679
those,2579
never,2556
being,2398
thing,2321
still,2181
place,2178
think,2151
world,2109
years,2088
while,1976
under,1907
three,1890
heard,1850
earth,1832
found,1822
among,1819
right,1797
night,1689
heart,1676
shalt,1673
young,1560
voice,1507
quite,1364
words,1335
hands,1301
saith,1271
water,1268
forth,1266
death,1264
whale,1254
whole,1249
round,1242
given,1237
since,1225
going,1213
woman,1199
white,1173
bring,1163
small,1157
stood,1147
light,1143
cried,1137
state,1137
speak,1114
began,1105
whose,1084
jesus,1051
thine,1048
until,1007
asked,1004
power,976
taken,942
least,883
stand,881
known,874
moses,873
above,866
blood,858
peace,845
large,825
sight,825
often,817
along,816
times,785
money,773
child,765
point,765
mouth,734
leave,726
field,724
alone,699
early,696
seven,686
black,676
brown,676
happy,668
spake,656
sword,654
truth,654
cause,651
order,647
sense,629
short,626
women,613
means,606
table,593
close,567
flesh,565
enter,563
chief,561
ready,556
drink,554
south,554
human,549
glory,546
sound,545
party,532
third,529
green,527
seems,524
month,511
faith,507
court,506
river,502
bread,501
works,498
group,494
added,488
sweet,479
trees,477
doubt,476
midst,469
later,466
offer,466
north,458
clear,457
ought,457
board,456
comes,449
doing,437
kings,432
judge,424
fight,421
dwell,412
front,412
burnt,409
altar,408
story,408
hours,404
wrong,402
force,394
tried,393
visit,390
serve,385
lived,378
moved,378
spoke,377
stone,376
stock,370
fruit,367
sleep,366
mercy,363
music,362
anger,361
mount,360
built,356
makes,356
watch,355
break,354
today,348
space,347
heavy,338
horse,335
wrote,333
angel,332
paper,330
local,329
grace,325
heads,324
major,324
value,320
below,315
lines,315
share,315
equal,313
hosts,309
write,309
study,308
meant,307
miles,306
touch,306
smile,305
trust,305
fifty,304
carry,303
lower,302
price,302
piece,300
frank,298
enemy,296
broad,295
loved,293
youth,293
build,292
faces,292
level,291
plain,291
image,288
knows,286
glass,285
parts,285
usual,285
eight,282
fixed,282
looks,276
taste,276
worse,276
grass,275
issue,275
clean,274
forty,271
march,271
floor,270
worth,270
aside,269
dream,268
fresh,268
terms,268
begin,266
sides,266
total,265
cloud,264
cross,263
sorry,263
weeks,261
names,260
tribe,260
beast,259
trade,258
daily,257
bound,256
noise,256
stars,256
wrath,255
ships,250
steps,250
teeth,250
areas,249
shape,249
final,247
queen,247
smote,247
alive,246
sheep,246
union,246
class,245
sperm,245
start,245
quiet,244
dwelt,243
peter,243
drive,242
smith,241
spent,241
named,236
plant,234
hills,233
proud,233
shame,233
thank,233
fancy,232
girls,232
broke,231
needs,231
thick,231
arose,230
lives,230
stage,230
begat,229
james,229
learn,229
reach,228
quick,227
cases,225
angry,223
hence,223
cover,222
gates,222
sharp,222
grave,221
scene,221
arise,220
tears,220
reign,216
blind,215
pride,215
waves,215
coast,214
sales,213
boats,212
devil,212
doors,212
drawn,212
shore,212
teach,212
trial,212
forms,208
saved,208
costs,207
laugh,207
shown,206
bless,205
dress,204
raise,204
slain,204
books,203
dance,203
empty,203
walls,203
gives,202
ideas,202
allow,200
bones,200
basis,199
crown,199
fully,198
ended,196
songs,196
loose,195
style,195
twice,195
grown,194
press,193
spite,192
using,192
takes,191
staff,190
lands,189
lying,189
plans,189
range,188
wings,188
marry,186
signs,186
catch,185
moral,183
truly,181
birds,178
wives,178
yours,178
ahead,177
basic,177
false,177
labor,177
noble,177
ocean,177
smoke,177
event,176
solid,176
aware,175
burst,175
chair,174
grand,174
ghost,173
guess,171
uncle,171
speed,170
train,170
crowd,169
brass,168
feast,167
funds,167
color,165
yield,164
hurry,162
wheel,162
hopes,161
knife,161
waste,161
armed,160
didst,160
prove,160
shook,160
souls,160
upper,160
index,159
birth,158
hotel,158
liked,158
poems,158
based,156
bates,156
claim,156
curse,156
hoped,156
naked,156
rates,156
threw,156
begun,155
guard,155
stick,155
wants,155
shows,153
maybe,152
civil,151
count,147
woods,147
bowed,146
eaten,146
negro,145
royal,145
spoil,145
beard,144
grant,144
swift,144
tired,144
flock,143
brain,142
steel,142
bonds,141
eager,141
swear,141
rooms,140
winds,140
yards,139
avoid,138
proof,138
shake,137
haste,136
match,136
turns,136
cease,135
goeth,135
older,135
spend,134
throw,134
types,134
china,133
goods,133
reply,133
tower,133
radio,132
roman,132
store,132
hardy,131
holds,131
spare,131
faint,130
knees,130
notes,130
pause,130
smite,130
awake,129
facts,129
borne,128
clock,128
noted,128
plane,128
worst,128
calls,127
fifth,127
henry,127
corps,126
linen,126
mouse,126
beach,125
drove,125
shoes,125
enjoy,124
japan,124
cabin,123
fault,123
fears,123
flame,123
banks,122
minds,121
rocks,121
maker,120
apart,119
storm,119
wound,119
flask,117
hated,117
inner,117
shade,117
brief,115
check,115
flood,115
rules,115
smell,115
sugar,115
widow,115
chose,114
dying,114
frame,114
honey,114
slept,114
weary,114
folly,112
mixed,112
chase,111
swung,111
risen,110
agree,109
idols,109
queer,109
abide,107
honor,107
legal,107
title,107
towns,107
utter,107
views,106
greek,105
stead,104
stern,104
tents,103
chain,102
crime,102
deeds,102
felix,102
alike,101
goats,101
model,101
drunk,100
jones,100
lambs,100
units,100
cells,99
stuff,99
texas,99
block,98
cents,98
faced,98
gifts,98
madam,98
tenth,98
cruel,97
fetch,97
fiery,97
guide,97
horns,97
chest,96
doeth,96
dread,96
exist,96
gross,96
cloth,95
craft,95
roots,95
shock,95
spear,95
aloud,94
delay,94
dried,94
globe,94
louis,94
porch,94
prize,94
brook,93
paris,93
plays,93
alarm,92
ammon,92
ivory,92
rough,92
feels,91
finds,91
india,91
perry,91
ruler,91
tells,91
firms,90
merry,90
wheat,90
ashes,89
bench,89
giant,89
heare,89
rapid,89
belly,88
exact,88
favor,88
items,88
pitch,88
aloft,87
dealt,87
habit,87
lucky,87
motor,87
scale,87
score,87
skill,87
admit,86
awful,86
canst,86
feare,86
flung,86
abode,85
depth,85
prime,85
shout,85
angle,84
bible,84
grain,84
roads,84
sixth,84
thief,84
blame,83
grove,83
lords,83
merit,83
pilot,83
apply,82
funny,82
ideal,82
occur,82
brave,81
metal,81
pains,81
vital,81
homes,80
limit,80
shine,80
silly,80
tests,80
bosom,79
brake,79
phase,79
seeds,79
agent,78
bills,78
holes,78
joint,78
lover,78
owner,78
posts,78
shoot,78
sware,78
anode,77
bride,77
dozen,77
grief,77
unity,77
bands,76
loins,76
sails,76
truck,76
urged,76
abbey,75
error,75
selah,75
charm,74
dirty,74
flour,74
outer,74
rifle,74
rings,74
swept,74
theme,74
wages,74
walks,74
fowls,73
kinds,73
mamma,73
paths,73
lodge,72
boots,71
penny,71
asses,70
guilt,70
rural,70
smart,70
sworn,70
moves,69
poets,69
sheet,69
slave,69
tiger,69
worry,69
apple,68
games,68
guest,68
loves,68
novel,68
nurse,68
cards,67
dared,67
elder,67
flash,67
hired,67
magic,67
steep,67
baker,66
beams,66
cedar,66
crash,66
drops,66
falls,66
lamps,66
marks,66
otter,66
purse,66
ruled,66
track,66
ample,65
billy,65
ranks,65
seats,65
cheek,64
fools,64
minor,64
plate,64
sixty,64
split,64
tight,64
trick,64
array,63
brush,63
cries,63
extra,63
fired,63
herds,63
knock,63
ninth,63
spout,63
straw,63
strip,63
wagon,63
crazy,62
curve,62
lewis,62
limbs,62
pound,62
prior,62
scorn,62
stake,62
stuck,62
abram,61
bells,61
coach,61
congo,61
humor,61
vague,61
haven,60
opera,60
talks,60
arrow,59
jolly,59
likes,59
males,59
sorts,59
tools,59
blows,58
croft,58
drank,58
fatal,58
isles,58
laura,58
snake,58
tread,58
chant,57
chaos,57
fires,57
leads,57
mates,57
shone,57
sweep,57
trace,57
crack,56
fence,56
fever,56
grows,56
meets,56
olive,56
owned,56
phone,56
treat,56
balls,55
blade,55
fanny,55
hedge,55
lance,55
pages,55
paint,55
print,55
stiff,55
tarry,55
verse,55
whoso,55
actor,54
bears,54
blast,54
filed,54
foods,54
heave,54
lions,54
mourn,54
vexed,54
backs,53
drama,53
edges,53
newly,53
piano,53
shift,53
shirt,53
snare,53
sober,53
trend,53
acres,52
agony,52
bliss,52
entry,52
ephod,52
flies,52
hints,52
mayor,52
rigid,52
route,52
sadly,52
spots,52
stole,52
taxes,52
eagle,51
erect,51
faded,51
gains,51
pluck,51
sodom,51
tooth,51
acted,50
badly,50
blank,50
focus,50
gloom,50
jesse,50
lunch,50
lungs,50
organ,50
plead,50
sings,50
steam,50
wroth,50
doest,49
fewer,49
goest,49
saint,49
stare,49
alert,48
argue,48
aught,48
beare,48
clerk,48
fleet,48
harry,48
heels,48
lofty,48
rises,48
sands,48
trail,48
award,47
bloom,47
boast,47
cared,47
dutch,47
evils,47
fairy,47
folks,47
keeps,47
patch,47
